funder,funder_type,program,acronym_expansion,theme,pandemic_relevance,years,status,source_file
CZI,foundation/philanthropy,COVID-19 sequencing & the CLIAHUB,CLIA = Clinical Laboratory Improvement Amendments,diagnostics,YES,2020,active,czi.md
CZI,foundation/philanthropy,Biohub Network expansion (Chicago & New York),,basic-research,PARTIAL,2023,active,czi.md
CZI,foundation/philanthropy,Single-cell biology / Human Cell Atlas,HCA = Human Cell Atlas,basic-research,PARTIAL,2016-,active,czi.md
CZI,foundation/philanthropy,Pathogen genomics / global biosurveillance,,biosurveillance-detection,YES,ongoing,active,czi.md
Novo Nordisk Foundation,foundation/philanthropy,Global Pathogen Analysis Platform (GPAP),GPAP = Global Pathogen Analysis Platform,biosurveillance-detection,YES,2025,active,novo-nordisk.md
Novo Nordisk Foundation,foundation/philanthropy,Pandemic Antiviral Discovery (PAD),PAD = Pandemic Antiviral Discovery,therapeutics-antivirals,YES,2022-,active,novo-nordisk.md
Novo Nordisk Foundation,foundation/philanthropy,NNF Initiative for Vaccines and Immunity (NIVI),NIVI = NNF Initiative for Vaccines and Immunity; NVAC = NNF Vaccine Accelerator,vaccines,YES,2023,active,novo-nordisk.md
Novo Nordisk Foundation,foundation/philanthropy,AIM Bio,,MCM-manufacturing,PARTIAL,2019,active,novo-nordisk.md
Novo Nordisk Foundation,foundation/philanthropy,REPAIR Impact Fund,REPAIR = Replenishing and Enabling the Pipeline for Anti-Infective Resistance,AMR,YES,2018,closed to new proposals,novo-nordisk.md
Novo Nordisk Foundation,foundation/philanthropy,AMR Action Fund,AMR = Antimicrobial Resistance,AMR,YES,2020,active,novo-nordisk.md
Novo Nordisk Foundation,foundation/philanthropy,CARB-X,CARB-X = Combating Antibiotic-Resistant Bacteria Biopharmaceutical Accelerator,AMR,YES,2024,active,novo-nordisk.md
Novo Nordisk Foundation,foundation/philanthropy,Three-funder partnership (Gates + NNF + Wellcome) / Gr-ADI,Gr-ADI = Gram-Negative Antibiotic Discovery Innovator,AMR,YES,2024-2026,active,novo-nordisk.md
Novo Nordisk Foundation,foundation/philanthropy,WHO framework agreement,,AMR,YES,2025-2028,active,novo-nordisk.md
Novo Nordisk Foundation,foundation/philanthropy,PIG-PARADIGM / Infectious Diseases Catalyst Grants,,AMR,PARTIAL,2022-,active,novo-nordisk.md
Novo Nordisk Foundation,foundation/philanthropy,COVID-19 response,,other,YES,2020-2021,active,novo-nordisk.md
Skoll/Ending Pandemics,foundation/philanthropy,Skoll Global Threats Fund (SGTF),SGTF = Skoll Global Threats Fund,biosurveillance-detection,YES,2009-2017,sunset,skoll.md
Skoll/Ending Pandemics,foundation/philanthropy,Ending Pandemics,,biosurveillance-detection,YES,2018-,active,skoll.md
Skoll/Ending Pandemics,foundation/philanthropy,Flu Near You,,biosurveillance-detection,YES,2011-,active,skoll.md
Skoll/Ending Pandemics,foundation/philanthropy,EpiHacks,,biosurveillance-detection,YES,2013-2018,active,skoll.md
Skoll/Ending Pandemics,foundation/philanthropy,PODD (Thailand),PODD = Participatory One Health Disease Detection,biosurveillance-detection,YES,2014-,active,skoll.md
Skoll/Ending Pandemics,foundation/philanthropy,EpiCore,,biosurveillance-detection,YES,2016-,active,skoll.md
Skoll/Ending Pandemics,foundation/philanthropy,Mass-gathering surveillance (Brazil),,biosurveillance-detection,YES,2014-2016,active,skoll.md
Skoll/Ending Pandemics,foundation/philanthropy,Skoll Foundation (broader) & COVID-19 response,,other,PARTIAL,1999-2020,active,skoll.md
HHMI,foundation/philanthropy,Investigator Program,HHMI = Howard Hughes Medical Institute,basic-research,PARTIAL,ongoing,active,other-funders.md
HHMI,foundation/philanthropy,Emerging Pathogens Initiative,,basic-research,YES,2023,active,other-funders.md
Bloomberg,foundation/philanthropy,Data for Health,,biosurveillance-detection,PARTIAL,2015-,active,other-funders.md
Bloomberg,foundation/philanthropy,Public-health programme (tobacco/NCDs/road safety),NCDs = Non-Communicable Diseases,other,NO,2005-,active,other-funders.md
Trinity Challenge,multilateral/nonprofit,Challenge 1 - Protect against future health emergencies,TTC = The Trinity Challenge,biosurveillance-detection,YES,2021,active,other-funders.md
Trinity Challenge,multilateral/nonprofit,Challenge 2 - Antimicrobial Resistance,AMR = Antimicrobial Resistance,AMR,YES,2024,active,other-funders.md
Trinity Challenge,multilateral/nonprofit,Challenge 3 - Community Access to Effective Antibiotics,,AMR,YES,2025,active,other-funders.md
Schmidt,foundation/philanthropy,AI2050,,basic-research,NO,ongoing,active,other-funders.md
Schmidt,foundation/philanthropy,Eric and Wendy Schmidt Center at the Broad Institute,,basic-research,PARTIAL,2021,active,other-funders.md
Flu Lab,foundation/philanthropy,Universal flu vaccine partnership (with Gates),,vaccines,YES,2019,active,other-funders.md
Resolve to Save Lives,foundation/philanthropy,Epidemics / Epidemic Prevention (7-1-7 metric),RTSL = Resolve to Save Lives,biosurveillance-detection,YES,2017-,active,other-funders.md
Resolve to Save Lives,foundation/philanthropy,Cardiovascular Health,,other,NO,2017-,active,other-funders.md
Audacious Project,foundation/philanthropy,SENTINEL,,diagnostics,YES,2020,active,other-funders.md
Patrick J. McGovern Foundation,foundation/philanthropy,AI-for-health / data-infrastructure grantmaking,,biosurveillance-detection,PARTIAL,ongoing,active,other-funders.md
ELMA Foundation,foundation/philanthropy,mRNA Technology Transfer Programme funder,,MCM-manufacturing,PARTIAL,2021-,active,other-funders.md
Open Philanthropy,foundation/philanthropy,Physical transmission suppression (far-UVC/UVGI/ventilation/filtration) & next-gen PPE,UVGI = Ultraviolet Germicidal Irradiation,PPE-air-UV,YES,ongoing,active,air-ppe-uv-glycols.md
Blueprint Biosecurity,foundation/philanthropy,AIR (Airborne Infection Resilience) - far-UVC / next-gen PPE / glycol-vapor,AIR = Airborne Infection Resilience,PPE-air-UV,YES,2023-,active,air-ppe-uv-glycols.md
Blueprint Biosecurity,foundation/philanthropy,GlycolISER,,PPE-air-UV,YES,2026-2027,active,air-ppe-uv-glycols.md
Balvi,foundation/philanthropy,Clean / indoor air & germicidal-UV portfolio,,PPE-air-UV,YES,2022-,active,air-ppe-uv-glycols.md
NIOSH/NPPTL,US HHS,National Personal Protective Technology Laboratory (NPPTL) & Project BREATHE,NPPTL = National Personal Protective Technology Laboratory,PPE-air-UV,YES,1995-,active,air-ppe-uv-glycols.md
BARDA/ASPR,US HHS,Respiratory PPE / SNS / DPA Title III,DPA = Defense Production Act; SNS = Strategic National Stockpile,PPE-air-UV,YES,2017-2022,active,air-ppe-uv-glycols.md
ARPA-H,US HHS,BREATHE,BREATHE = Building Resilient Environments for Air and Total HEalth,PPE-air-UV,YES,2024-,active,air-ppe-uv-glycols.md
CDC/EPA,US HHS,Clean Air in Buildings Challenge & ESSER,ESSER = Elementary and Secondary School Emergency Relief,PPE-air-UV,YES,2022,active,air-ppe-uv-glycols.md
EPA,US gov agency,Air-sanitizer pathway & Grignard Pure (glycol),FIFRA = Federal Insecticide Fungicide and Rodenticide Act,PPE-air-UV,YES,2021,active,air-ppe-uv-glycols.md
NIH,US HHS,Germicidal UV (UVGI) air disinfection,UVGI = Ultraviolet Germicidal Irradiation,PPE-air-UV,YES,2006-2025,active,air-ppe-uv-glycols.md
UKRI/MRC,US gov agency,Infections & Immunity portfolio,Medical Research Council,basic-research,PARTIAL,ongoing,Active,international/uk.md
UKRI/BBSRC,US gov agency,Underpinning bioscience (pathogen/animal/vaccine),Biotechnology and Biological Sciences Research Council,basic-research,PARTIAL,ongoing,Active,international/uk.md
NIHR,US gov agency,Health Protection Research Units,,biosurveillance-detection,YES,2025-2030,Active,international/uk.md
DHSC,US gov agency,UK Vaccine Network,,vaccines,YES,2016-2022,Complete,international/uk.md
UKHSA,US gov agency,UK Health Security Agency (Porton Down/Colindale/VDEC),,biosurveillance-detection,YES,2021-,Active,international/uk.md
UKHSA,US gov agency,100 Days Mission (UK secretariat),,vaccines,YES,2021-,Active,international/uk.md
UK Vaccine Taskforce,US gov agency,Vaccine Taskforce (COVID procurement/manufacturing),,vaccines,YES,2020-2021,Complete,international/uk.md
DHSC,US gov agency,Vaccines Manufacturing and Innovation Centre,VMIC,MCM-manufacturing,YES,2018-2022,Complete,international/uk.md
Dstl,US DoD,Biological/chemical defence research,Defence Science and Technology Laboratory,biosecurity-policy,PARTIAL,2001-,Active,international/uk.md
ARIA,US gov agency,Sustained Viral Resilience,Advanced Research and Invention Agency,therapeutics-antivirals,YES,2025-,Active,international/uk.md
HERA,multilateral/nonprofit,MCM development/procurement/stockpiling,European Health Emergency Preparedness and Response Authority,MCM-manufacturing,YES,2021-,Active,international/eu.md
HERA,multilateral/nonprofit,EU FAB reserved vaccine-manufacturing capacity,,MCM-manufacturing,YES,2022-,Active,international/eu.md
HERA,multilateral/nonprofit,HERA Invest venture-loan facility,,therapeutics-antivirals,YES,2024-,Active,international/eu.md
Horizon Europe,multilateral/nonprofit,Cluster 1 Health + Pandemic Preparedness Partnership,,basic-research,YES,2021-2027,Active,international/eu.md
Horizon 2020,multilateral/nonprofit,COVID-19 emergency research calls,,therapeutics-antivirals,YES,2020-2021,Complete,international/eu.md
IHI/IMI,multilateral/nonprofit,Innovative Health Initiative (public-private),Innovative Health Initiative,vaccines,PARTIAL,2021-2027,Active,international/eu.md
IMI,multilateral/nonprofit,Ebola+ programme,,vaccines,YES,2014-,Complete,international/eu.md
EIB,multilateral/nonprofit,Vaccine/therapeutic financing,European Investment Bank,MCM-manufacturing,YES,2020-,Active,international/eu.md
European Defence Fund,US gov agency,CBRN detection/decontamination strand,,biosecurity-policy,PARTIAL,2021-2027,Active,international/eu.md
CIHR (Canada),multilateral/nonprofit,COVID-19 Rapid Research Funding,Canadian Institutes of Health Research,therapeutics-antivirals,YES,2020-2021,Complete,international/canada-australia.md
PHAC (Canada),multilateral/nonprofit,National Microbiology Laboratory (BSL-4),,biosurveillance-detection,YES,1999-,Active,international/canada-australia.md
ISED (Canada),multilateral/nonprofit,Strategic Innovation Fund - life sciences,,MCM-manufacturing,YES,2021-,Active,international/canada-australia.md
ISED (Canada),multilateral/nonprofit,Biomanufacturing and Life Sciences Strategy,,MCM-manufacturing,YES,2021-,Active,international/canada-australia.md
IDRC (Canada),multilateral/nonprofit,Pandemic/One Health research in LMICs,International Development Research Centre,biosurveillance-detection,YES,2020-,Active,international/canada-australia.md
NHMRC (Australia),multilateral/nonprofit,APPRISE infectious-disease network,,biosurveillance-detection,YES,2016-2021,Complete,international/canada-australia.md
MRFF (Australia),multilateral/nonprofit,Medical Research Future Fund Missions,Medical Research Future Fund,basic-research,PARTIAL,2024-2034,Active,international/canada-australia.md
CSIRO (Australia),multilateral/nonprofit,Australian Centre for Disease Preparedness (BSL-4),ACDP,environmental-ag,YES,1985-,Active,international/canada-australia.md
Australia,multilateral/nonprofit,Australian Centre for Disease Control,Australian CDC,biosurveillance-detection,YES,2024-2026,Active,international/canada-australia.md
BMBF (Germany),multilateral/nonprofit,COVID-19 vaccine Sonderprogramm,Federal Ministry of Education and Research,vaccines,YES,2020-2021,Complete,international/europe-national.md
RKI (Germany),multilateral/nonprofit,Robert Koch Institute (surveillance/genomics),Robert Koch Institute,biosurveillance-detection,YES,ongoing,Active,international/europe-national.md
DZIF (Germany),multilateral/nonprofit,German Center for Infection Research,Deutsches Zentrum fuer Infektionsforschung,basic-research,YES,2012-,Active,international/europe-national.md
ANR (France),multilateral/nonprofit,RA-COVID-19 rapid research calls,Agence Nationale de la Recherche,therapeutics-antivirals,YES,2020-2021,Complete,international/europe-national.md
INSERM/ANRS-MIE (France),multilateral/nonprofit,Emerging infectious diseases agency,ANRS Maladies Infectieuses Emergentes,biosurveillance-detection,YES,2021-,Active,international/europe-national.md
France 2030,multilateral/nonprofit,Innovation Sante 2030 (biotherapy/bioproduction; PREZODE),,MCM-manufacturing,PARTIAL,2021-,Active,international/europe-national.md
ZonMw (Netherlands),multilateral/nonprofit,Pandemic Preparedness knowledge programme,,biosurveillance-detection,YES,2022-,Active,international/europe-national.md
RIVM (Netherlands),multilateral/nonprofit,Infectious-disease control & preparedness,National Institute for Public Health,biosurveillance-detection,YES,ongoing,Active,international/europe-national.md
Intravacc (Netherlands),multilateral/nonprofit,State-owned vaccine development institute,,vaccines,PARTIAL,2021-,Active,international/europe-national.md
AMED (Japan),multilateral/nonprofit,Medical R&D control-tower funder,Japan Agency for Medical Research and Development,basic-research,PARTIAL,2015-,Active,international/asia-pacific.md
SCARDA (Japan),multilateral/nonprofit,Strategic vaccine R&D agency (BARDA-like),Strategic Center of Biomedical Advanced Vaccine R&D,vaccines,YES,2022-,Active,international/asia-pacific.md
SCARDA (Japan),multilateral/nonprofit,World-leading Vaccine R&D Centers (hubs),,vaccines,YES,2022-2026,Active,international/asia-pacific.md
Japan,multilateral/nonprofit,GHIT Fund (neglected-disease PPP),Global Health Innovative Technology Fund,therapeutics-antivirals,PARTIAL,2013-,Active,international/asia-pacific.md
KDCA (Korea),multilateral/nonprofit,Korea Disease Control and Prevention Agency,,biosurveillance-detection,YES,2020-,Active,international/asia-pacific.md
KDCA (Korea),multilateral/nonprofit,mRNA Vaccine Development Support Project,,vaccines,YES,2025-2028,Active,international/asia-pacific.md
Korea,multilateral/nonprofit,K-vaccine / Global Vaccine Hub,,MCM-manufacturing,YES,2021-2025,Active,international/asia-pacific.md
NMRC (Singapore),multilateral/nonprofit,National Medical Research Council grants,,basic-research,PARTIAL,1994-,Active,international/asia-pacific.md
Singapore,multilateral/nonprofit,PREPARE (epidemic preparedness & response),Programme for Research in Epidemic Preparedness and Response,biosurveillance-detection,YES,2022-,Active,international/asia-pacific.md
A*STAR (Singapore),multilateral/nonprofit,Infectious Diseases Labs,,biosurveillance-detection,YES,2021-,Active,international/asia-pacific.md
DBT/BIRAC (India),multilateral/nonprofit,Mission COVID Suraksha (vaccine development),,vaccines,YES,2020-2021,Complete,international/gsouth.md
DBT/BIRAC (India),multilateral/nonprofit,Ind-CEPI Mission,India Centric Epidemic Preparedness,vaccines,YES,2019-,Active,international/gsouth.md
DBT/BIRAC (India),multilateral/nonprofit,National Biopharma Mission (Innovate in India),,MCM-manufacturing,PARTIAL,2017-,Active,international/gsouth.md
ICMR (India),multilateral/nonprofit,Indian Council of Medical Research,,biosurveillance-detection,YES,ongoing,Active,international/gsouth.md
SAMRC (South Africa),multilateral/nonprofit,SA Medical Research Council / SHIP,South African Medical Research Council,vaccines,YES,1969-,Active,international/gsouth.md
DSI (South Africa),multilateral/nonprofit,NGS-SA genomic surveillance network,Network for Genomic Surveillance SA,biosurveillance-detection,YES,2020-,Active,international/gsouth.md
WHO/MPP,multilateral/nonprofit,mRNA Technology Transfer Hub (Afrigen),,MCM-manufacturing,YES,2021-,Active,international/gsouth.md
Fiocruz (Brazil),multilateral/nonprofit,Bio-Manguinhos immunobiologicals,Oswaldo Cruz Foundation,vaccines,YES,1900-,Active,international/gsouth.md
Ministry of Health (Brazil),multilateral/nonprofit,CEIS health-industrial strategy,Complexo Economico-Industrial da Saude,MCM-manufacturing,PARTIAL,2023-2026,Active,international/gsouth.md
FAPESP (Brazil),multilateral/nonprofit,Sao Paulo Research Foundation COVID lines,,basic-research,YES,2020-,Active,international/gsouth.md
WHO,multilateral/nonprofit,ACT-Accelerator (COVID umbrella),Access to COVID-19 Tools,vaccines,YES,2020-2023,Complete,international/multilateral.md
WHO,multilateral/nonprofit,Hub for Pandemic and Epidemic Intelligence (Berlin),,biosurveillance-detection,YES,2021-,Active,international/multilateral.md
WHO,multilateral/nonprofit,PRET initiative,Preparedness and Resilience for Emerging Threats,biosecurity-policy,YES,2023-,Active,international/multilateral.md
WHO,multilateral/nonprofit,R&D Blueprint (priority pathogens),,vaccines,YES,2016-,Active,international/multilateral.md
WHO,multilateral/nonprofit,BioHub System (pathogen sharing),,biosurveillance-detection,YES,2021-,Active,international/multilateral.md
WHO,multilateral/nonprofit,Pandemic Agreement / PABS,Pathogen Access and Benefit-Sharing,biosecurity-policy,YES,2025-,Active,international/multilateral.md
Pandemic Fund,multilateral/nonprofit,PPR financing for LMICs (World Bank-hosted),,biosurveillance-detection,YES,2022-,Active,international/multilateral.md
Unitaid,multilateral/nonprofit,Therapeutics/diagnostics market-shaping,,therapeutics-antivirals,YES,2006-,Active,international/multilateral.md
FIND,multilateral/nonprofit,Diagnostics product-development partnership,Foundation for Innovative New Diagnostics,diagnostics,YES,2003-,Active,international/multilateral.md
DNDi,multilateral/nonprofit,ANTICOV + neglected-disease R&D,Drugs for Neglected Diseases initiative,therapeutics-antivirals,YES,2003-,Active,international/multilateral.md
GARDP,multilateral/nonprofit,Antibiotic R&D for AMR,Global Antibiotic Research & Development Partnership,AMR,PARTIAL,2016-,Active,international/multilateral.md
Gavi,multilateral/nonprofit,Vaccine co-financing / replenishment,Gavi the Vaccine Alliance,vaccines,YES,2000-,Active,international/gavi-globalfund.md
Gavi,multilateral/nonprofit,COVAX (vaccines pillar / AMC),COVID-19 Vaccines Global Access,vaccines,YES,2020-2023,Complete,international/gavi-globalfund.md
Gavi,multilateral/nonprofit,African Vaccine Manufacturing Accelerator,AVMA,MCM-manufacturing,YES,2024-,Active,international/gavi-globalfund.md
Gavi,multilateral/nonprofit,Day Zero Financing Facility / First Response Fund,DZF,vaccines,YES,2024-,Active,international/gavi-globalfund.md
Global Fund,multilateral/nonprofit,HIV/TB/malaria + RSSH grants,The Global Fund,therapeutics-antivirals,PARTIAL,2002-,Active,international/gavi-globalfund.md
Global Fund,multilateral/nonprofit,C19RM (COVID-19 Response Mechanism),COVID-19 Response Mechanism,diagnostics,YES,2020-2023,Complete,international/gavi-globalfund.md
Global Fund,multilateral/nonprofit,PPR objective (Strategy 2023-2028),Pandemic Preparedness and Response,biosurveillance-detection,YES,2023-2028,Active,international/gavi-globalfund.md
